NO;NPWPD / NAMA WP / ALAMAT;KET.;DESEMBER;JANUARI;PEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOPEMBER;JUMLAH;STATUS
;;Pajak;Rp20.762.263;Rp15.829.087;Rp12.178.995;Rp27.546.313;Rp17.593.637;Rp15.091.353;Rp11.521.813;Rp17.414.994;Rp6.153.167;Rp10.448.629;Rp32.713.173; Rp- ;Rp187.253.424;
;;Setor;Rp20.762.263;Rp15.829.087;Rp12.178.995;Rp27.546.313;Rp17.593.637;Rp15.091.353;Rp11.521.813;Rp17.414.994;Rp6.153.167;Rp10.448.629; Rp- ; Rp- ;Rp154.540.251;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
24;32.78.1.0003694.09.006 / MC. DONALDS DRIVE THRU / JL. IR H DJUANDA NO 82;Omset;Rp771.101.431;Rp615.558.570;Rp599.631.995;Rp1.032.790.204;Rp960.073.874;Rp637.488.841;Rp652.384.283;Rp591.296.172;Rp714.005.449;Rp668.498.462;Rp670.474.585; Rp- ;Rp7.913.303.866;AKTIF
;;Pajak;Rp77.110.143;Rp61.555.857;Rp59.963.200;Rp103.279.020;Rp96.007.387;Rp63.748.884;Rp65.238.428;Rp59.129.617;Rp71.400.545;Rp66.849.846;Rp67.047.459; Rp- ;Rp791.330.386;
;;Setor;Rp77.110.143;Rp61.555.857;Rp59.963.200;Rp103.279.020;Rp96.007.387;Rp63.748.884;Rp65.238.428;Rp59.129.617;Rp71.400.545;Rp66.849.846;Rp67.047.459; Rp- ;Rp791.330.386;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
25;32.78.1.0003737.02.004 / PT DOM PIZZA INDONESIA (RESTORAN) / JL. HZ MUSTOFA;Omset;Rp515.433.545;Rp514.057.769;Rp791.495.490;Rp724.868.073;Rp708.186.079;Rp634.152.907;Rp695.780.909;Rp598.470.269;Rp567.762.175;Rp555.059.047;Rp553.213.140; Rp- ;Rp6.858.479.403;AKTIF
;;Pajak;Rp51.543.355;Rp51.405.777;Rp79.149.549;Rp72.486.807;Rp70.818.608;Rp63.415.291;Rp69.578.091;Rp59.847.027;Rp56.776.218;Rp55.505.905;Rp55.321.314; Rp- ;Rp685.847.942;
;;Setor;Rp51.543.355;Rp51.405.777;Rp79.149.549;Rp72.486.807;Rp70.818.608;Rp63.415.291;Rp69.578.091;Rp59.847.027;Rp56.776.218;Rp55.505.905;Rp55.321.314; Rp- ;Rp685.847.942;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
26;32.78.1.0003751.08.002 / MASHU YAKINIKI & SHABU-SHABU / JL. SUTISNA SENJAYA NO 49;Omset;Rp45.000.000;Rp30.000.000;Rp30.000.000;Rp35.000.000;Rp40.000.000;Rp25.000.000;Rp25.000.000;Rp25.000.000;Rp25.000.000;Rp20.000.000;Rp20.000.000; Rp- ;Rp320.000.000;AKTIF
;;Pajak;Rp4.500.000;Rp3.000.000;Rp3.000.000;Rp3.500.000;Rp4.000.000;Rp2.500.000;Rp2.500.000;Rp2.500.000;Rp2.500.000;Rp2.000.000;Rp2.000.000; Rp- ;Rp32.000.000;
;;Setor;Rp4.500.000;Rp3.000.000;Rp3.000.000;Rp3.500.000;Rp4.000.000;Rp2.500.000;Rp2.500.000;Rp2.500.000;Rp2.500.000;Rp2.000.000;Rp2.000.000; Rp- ;Rp32.000.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
27;32.78.1.0003849.08.003 / LAZATTO UNSIL / JL. SILIWANGI 24;Omset;Rp7.012.500;Rp7.876.200;Rp6.067.400;Rp7.486.200;Rp7.233.100;Rp7.775.100;Rp7.764.700;Rp7.901.100;Rp8.463.900;Rp8.612.800;Rp8.490.900; Rp- ;Rp84.683.900;AKTIF
;;Pajak;Rp701.250;Rp787.620;Rp606.740;Rp748.620;Rp723.310;Rp777.510;Rp776.470;Rp790.110;Rp846.390;Rp861.280;Rp849.090; Rp- ;Rp8.468.390;
;;Setor;Rp701.250;Rp787.620;Rp606.740;Rp748.620;Rp723.310;Rp777.510;Rp776.470;Rp790.110;Rp846.390;Rp861.280;Rp849.090; Rp- ;Rp8.468.390;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
28;32.78.1.0003860.08.003 / Q KITCHEN BURGER BANGOR / Jl. Siliwangi No. 24;Omset;Rp11.250.000;Rp11.050.000;Rp10.360.000;Rp9.850.000;Rp12.200.000;Rp10.500.000;Rp11.206.000;Rp9.510.000;Rp11.080.000;Rp11.296.000;Rp10.454.000; Rp- ;Rp118.756.000;AKTIF
;;Pajak;Rp1.125.000;Rp1.105.000;Rp1.036.000;Rp985.000;Rp1.220.000;Rp1.050.000;Rp1.120.600;Rp951.000;Rp1.108.000;Rp1.129.600;Rp1.045.400; Rp- ;Rp11.875.600;
;;Setor;Rp1.125.000;Rp1.105.000;Rp1.036.000;Rp985.000;Rp1.220.000;Rp1.050.000;Rp1.120.600;Rp951.000;Rp1.108.000;Rp1.129.600;Rp1.045.400; Rp- ;Rp11.875.600;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
29;32.78.1.0003861.08.001 / BURGER BANGOR SUTSEN / Jl. Sutisna Senjaya No. 92;Omset;Rp11.476.000;Rp10.380.000;Rp9.750.000;Rp11.475.000;Rp15.250.000;Rp10.495.000;Rp10.450.000;Rp10.154.500;Rp10.244.000;Rp9.351.000;Rp10.252.500; Rp- ;Rp119.278.000;AKTIF
;;Pajak;Rp1.147.600;Rp1.038.000;Rp975.000;Rp1.147.500;Rp1.525.000;Rp1.049.500;Rp1.045.000;Rp1.015.450;Rp1.024.400;Rp935.100;Rp1.025.250; Rp- ;Rp11.927.800;
;;Setor;Rp1.147.600;Rp1.038.000;Rp975.000;Rp1.147.500;Rp1.525.000;Rp1.049.500;Rp1.045.000;Rp1.015.450;Rp1.024.400;Rp935.100;Rp1.025.250; Rp- ;Rp11.927.800;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
30;32.78.1.0003869.05.006 / LAZATTO KAWALU 2 / JL. PERINTIS KEMERDEKAAN NO. 254;Omset;Rp5.171.000;Rp5.569.700;Rp5.417.200;Rp6.857.500;Rp5.262.900;Rp5.082.600;Rp5.218.200;Rp4.767.600;Rp4.718.300;Rp4.743.000;Rp5.555.100; Rp- ;Rp58.363.100;AKTIF
;;Pajak;Rp517.100;Rp556.970;Rp541.720;Rp685.750;Rp526.290;Rp508.260;Rp521.820;Rp476.760;Rp471.830;Rp474.300;Rp555.510; Rp- ;Rp5.836.310;
;;Setor;Rp517.100;Rp556.970;Rp541.720;Rp685.750;Rp526.290;Rp508.260;Rp521.820;Rp476.760;Rp471.830;Rp474.300;Rp555.510; Rp- ;Rp5.836.310;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
31;32.78.1.0003870.07.002 / LAZATTO GOBRAS / JL. TAMANSARI NO. 29;Omset;Rp8.012.700;Rp7.854.800;Rp6.801.600;Rp8.761.100;Rp7.374.400;Rp7.690.000;Rp7.660.200;Rp7.645.300;Rp8.338.500;Rp8.097.500;Rp8.769.100; Rp- ;Rp87.005.200;AKTIF
;;Pajak;Rp801.270;Rp785.480;Rp680.160;Rp876.110;Rp737.440;Rp769.000;Rp766.020;Rp764.530;Rp833.850;Rp809.750;Rp876.910; Rp- ;Rp8.700.520;
;;Setor;Rp801.270;Rp785.480;Rp680.160;Rp876.110;Rp737.440;Rp769.000;Rp766.020;Rp764.530;Rp833.850;Rp809.750;Rp876.910; Rp- ;Rp8.700.520;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp7.661; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp7.661;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp7.661; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp7.661;
32;32.78.1.0003871.01.005 / LAZATTO CILENDEK / JL. CILENDEK NO. 1;Omset;Rp8.556.000;Rp9.387.900;Rp8.233.200;Rp10.266.000;Rp8.261.000;Rp8.130.200;Rp8.672.900;Rp8.383.100;Rp8.391.600;Rp8.082.600;Rp7.947.000; Rp- ;Rp94.311.500;AKTIF
;;Pajak;Rp855.600;Rp938.790;Rp823.320;Rp1.026.600;Rp826.100;Rp813.020;Rp867.290;Rp838.310;Rp839.160;Rp808.260;Rp794.700; Rp- ;Rp9.431.150;
;;Setor;Rp855.600;Rp938.790;Rp823.320;Rp1.026.600;Rp826.100;Rp813.020;Rp867.290;Rp838.310;Rp839.160;Rp808.260;Rp794.700; Rp- ;Rp9.431.150;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
33;32.78.1.0003872.01.001 / LAZATTO AWIPARI / KP. CIHERANG 03/015;Omset;Rp10.886.100;Rp10.285.200;Rp9.602.100;Rp12.238.000;Rp9.180.400;Rp9.438.800;Rp10.156.900;Rp21.108.500;Rp10.638.100;Rp11.011.100;Rp11.879.700; Rp- ;Rp126.424.900;AKTIF
;;Pajak;Rp1.088.610;Rp1.028.520;Rp960.210;Rp1.223.800;Rp918.040;Rp943.880;Rp1.015.690;Rp2.110.850;Rp1.063.810;Rp1.101.110;Rp1.187.970; Rp- ;Rp12.642.490;
;;Setor;Rp1.088.610;Rp1.028.520;Rp960.210;Rp1.223.800;Rp918.040;Rp943.880;Rp1.015.690;Rp1.095.160;Rp1.063.810;Rp1.101.110; Rp- ; Rp- ;Rp10.438.830;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp10.952; Rp- ; Rp- ; Rp- ; Rp- ;Rp10.952;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp10.952; Rp- ; Rp- ; Rp- ; Rp- ;Rp10.952;
34;32.78.1.0003873.07.002 / LAZATTO GEGERNOONG / PASAR GEGERNOONG;Omset;Rp9.348.200;Rp9.173.900;Rp8.256.200;Rp10.227.100;Rp8.466.400;Rp8.769.000;Rp10.379.100;Rp20.190.900;Rp9.960.100;Rp9.259.200;Rp9.061.600; Rp- ;Rp113.091.700;AKTIF
;;Pajak;Rp934.820;Rp917.390;Rp825.620;Rp1.022.710;Rp846.640;Rp876.900;Rp1.037.910;Rp2.019.090;Rp996.010;Rp925.920;Rp906.160; Rp- ;Rp11.309.170;
;;Setor;Rp934.820;Rp917.390;Rp825.620;Rp1.022.710;Rp846.640;Rp876.900;Rp1.037.910;Rp981.180;Rp996.010;Rp925.920; Rp- ; Rp- ;Rp9.365.100;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.812; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.812;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.812; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.812;
35;32.78.1.0003874.04.011 / LAZATTO INDIHIANG / JL. LETJEN H. IBRAHIM ADJIE NO. 192;Omset;Rp11.669.700;Rp13.214.900;Rp10.837.700;Rp11.158.100;Rp10.918.400;Rp10.738.400;Rp12.541.500;Rp25.401.500;Rp12.130.700;Rp11.262.300;Rp12.513.900; Rp- ;Rp142.387.100;AKTIF
;;Pajak;Rp1.166.970;Rp1.321.490;Rp1.083.770;Rp1.115.810;Rp1.091.840;Rp1.073.840;Rp1.254.150;Rp2.540.150;Rp1.213.070;Rp1.126.230;Rp1.251.390; Rp- ;Rp14.238.710;
;;Setor;Rp1.166.970;Rp1.321.490;Rp1.083.770;Rp1.115.810;Rp1.091.840;Rp1.073.840;Rp1.254.150;Rp1.286.000;Rp1.213.070;Rp1.126.230; Rp- ; Rp- ;Rp11.733.170;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp12.860; Rp- ; Rp- ; Rp- ; Rp- ;Rp12.860;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp12.860; Rp- ; Rp- ; Rp- ; Rp- ;Rp12.860;
36;32.78.1.0003875.08.004 / LAZATTO PANCASILA / JL. LETKOL KOMIR KERTAMANAH;Omset;Rp8.382.600;Rp10.605.900;Rp8.838.400;Rp8.842.600;Rp8.438.100;Rp7.879.700;Rp7.362.700;Rp15.491.600;Rp7.673.300;Rp7.324.600;Rp6.595.200; Rp- ;Rp97.434.700;AKTIF
;;Pajak;Rp838.260;Rp1.060.590;Rp883.840;Rp884.260;Rp843.810;Rp787.970;Rp736.270;Rp1.549.160;Rp767.330;Rp732.460;Rp659.520; Rp- ;Rp9.743.470;
;;Setor;Rp838.260;Rp1.060.590;Rp883.840;Rp884.260;Rp843.810;Rp787.970;Rp736.270;Rp812.890;Rp767.330;Rp732.460; Rp- ; Rp- ;Rp8.347.680;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp8.129; Rp- ; Rp- ; Rp- ; Rp- ;Rp8.129;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp8.129; Rp- ; Rp- ; Rp- ; Rp- ;Rp8.129;
37;32.78.1.0003876.03.004 / LAZATTO SUKAMANAH / JL. AHMAD YANI NO. 118;Omset;Rp6.692.300;Rp7.302.200;Rp6.532.400;Rp7.594.700;Rp6.989.000;Rp6.940.800;Rp6.861.600;Rp15.029.800;Rp8.264.600;Rp7.623.100;Rp7.946.800; Rp- ;Rp87.777.300;AKTIF
;;Pajak;Rp669.230;Rp730.220;Rp653.240;Rp759.470;Rp698.900;Rp694.080;Rp686.160;Rp1.502.980;Rp826.460;Rp762.310;Rp794.680; Rp- ;Rp8.777.730;
;;Setor;Rp669.230;Rp730.220;Rp653.240;Rp759.470;Rp698.900;Rp694.080;Rp686.160;Rp816.820;Rp826.460;Rp762.310; Rp- ; Rp- ;Rp7.296.890;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp8.169; Rp- ; Rp- ; Rp- ; Rp- ;Rp8.169;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp8.169; Rp- ; Rp- ; Rp- ; Rp- ;Rp8.169;
38;32.78.1.0003877.05.006 / LAZATTO KAWALU / JL. RAYA KARANGNUNGGAL NO. 242;Omset;Rp9.448.100;Rp10.639.600;Rp9.962.900;Rp11.913.900;Rp9.592.100;Rp9.224.500;Rp10.549.300;Rp20.266.800;Rp10.025.200;Rp9.005.000;Rp8.911.000; Rp- ;Rp119.538.400;AKTIF
;;Pajak;Rp944.810;Rp1.063.960;Rp996.290;Rp1.191.390;Rp959.210;Rp922.450;Rp1.054.930;Rp2.026.680;Rp1.002.520;Rp900.500;Rp891.100; Rp- ;Rp11.953.840;
;;Setor;Rp944.810;Rp1.063.960;Rp996.290;Rp1.191.390;Rp959.210;Rp922.450;Rp1.054.930;Rp971.750;Rp1.002.520;Rp900.500; Rp- ; Rp- ;Rp10.007.810;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.718; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.718;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.718; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.718;
39;32.78.1.0003878.06.002 / LAZATTO MANGKUBUMI / JL. AH. NASUTION NO. 273;Omset;Rp7.056.200;Rp7.398.200;Rp6.253.800;Rp8.068.600;Rp7.235.900;Rp6.288.300;Rp7.088.900;Rp6.872.900;Rp6.421.600;Rp6.011.200;Rp4.664.600; Rp- ;Rp73.360.200;AKTIF
;;Pajak;Rp705.620;Rp739.820;Rp625.380;Rp806.860;Rp723.590;Rp628.830;Rp708.890;Rp687.290;Rp642.160;Rp601.120;Rp466.460; Rp- ;Rp7.336.020;
;;Setor;Rp705.620;Rp739.820;Rp625.380;Rp806.860;Rp723.590;Rp628.830;Rp708.890;Rp687.290;Rp642.160;Rp601.120;Rp466.460; Rp- ;Rp7.336.020;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
40;32.78.1.0003879.02.001 / LAZATTO CIEUNTUENG / JL. CIEUNTEUNG NO. 50;Omset;Rp9.375.600;Rp9.981.200;Rp8.850.700;Rp12.297.400;Rp9.603.200;Rp8.902.800;Rp9.626.300;Rp9.749.800;Rp11.769.700;Rp11.220.300;Rp11.474.400; Rp- ;Rp112.851.400;AKTIF
;;Pajak;Rp937.560;Rp998.120;Rp885.070;Rp1.229.740;Rp960.320;Rp890.280;Rp962.630;Rp974.980;Rp1.176.970;Rp1.122.030;Rp1.147.440; Rp- ;Rp11.285.140;
;;Setor;Rp937.560;Rp998.120;Rp885.070;Rp1.229.740;Rp960.320;Rp890.280;Rp962.630;Rp974.980;Rp1.176.970;Rp1.122.030;Rp1.147.440; Rp- ;Rp11.285.140;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
41;32.78.1.0003880.03.001 / LAZATTO MITRA BATIK / JL. MITRA BATIK NO. 20B;Omset;Rp8.224.900;Rp8.977.000;Rp7.296.800;Rp9.951.400;Rp8.628.700;Rp7.995.900;Rp9.005.700;Rp18.138.600;Rp8.446.900;Rp8.002.400;Rp7.722.800; Rp- ;Rp102.391.100;AKTIF
;;Pajak;Rp822.490;Rp897.700;Rp729.680;Rp995.140;Rp862.870;Rp799.590;Rp900.570;Rp1.813.860;Rp844.690;Rp800.240;Rp772.280; Rp- ;Rp10.239.110;
;;Setor;Rp822.490;Rp897.700;Rp729.680;Rp995.140;Rp862.870;Rp799.590;Rp900.570;Rp913.290;Rp844.690;Rp800.240; Rp- ; Rp- ;Rp8.566.260;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.133; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.133;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.133; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.133;
42;32.78.1.0003882.06.007 / LAZATTO PERINTIS / JL. PERINTIS KEMERDEKAAN;Omset;Rp6.770.400;Rp6.005.200;Rp6.867.600;Rp8.606.300;Rp8.056.900;Rp7.703.700;Rp7.963.100;Rp15.818.200;Rp8.221.700;Rp7.509.400;Rp3.730.600; Rp- ;Rp87.253.100;AKTIF
;;Pajak;Rp677.040;Rp600.520;Rp686.760;Rp860.630;Rp805.690;Rp770.370;Rp796.310;Rp1.581.820;Rp822.170;Rp750.940;Rp373.060; Rp- ;Rp8.725.310;
;;Setor;Rp677.040;Rp600.520;Rp686.760;Rp860.630;Rp805.690;Rp770.370;Rp796.310;Rp785.510;Rp822.170;Rp750.940; Rp- ; Rp- ;Rp7.555.940;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp7.856; Rp- ; Rp- ; Rp- ; Rp- ;Rp7.856;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp7.856; Rp- ; Rp- ; Rp- ; Rp- ;Rp7.856;
43;32.78.1.0003883.03.002 / LAZATTO CIGEUREUNG / JL. CIGEUREUNG NO. 18;Omset;Rp5.994.100;Rp5.305.000;Rp5.510.500;Rp6.160.100;Rp5.904.800;Rp5.814.300;Rp6.177.100;Rp12.350.200;Rp6.682.100;Rp6.017.900;Rp6.340.900; Rp- ;Rp72.257.000;AKTIF
;;Pajak;Rp599.410;Rp530.500;Rp551.050;Rp616.010;Rp590.480;Rp581.430;Rp617.710;Rp1.235.020;Rp668.210;Rp601.790;Rp634.090; Rp- ;Rp7.225.700;
;;Setor;Rp599.410;Rp530.500;Rp551.050;Rp616.010;Rp590.480;Rp581.430;Rp617.710;Rp617.310;Rp668.210;Rp601.790; Rp- ; Rp- ;Rp5.973.900;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.174; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.174;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.174; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.174;
44;32.78.1.0003884.02.005 / LAZATTO CILEMBANG / JL. LETKOL RE JAELANI NO. 5;Omset;Rp5.935.500;Rp5.796.100;Rp5.058.000;Rp6.558.400;Rp5.364.300;Rp5.120.500;Rp5.666.600;Rp5.538.300;Rp5.623.400;Rp5.276.200;Rp5.469.300; Rp- ;Rp61.406.600;AKTIF
;;Pajak;Rp593.550;Rp579.610;Rp505.800;Rp655.840;Rp536.430;Rp512.050;Rp566.660;Rp553.830;Rp562.340;Rp527.620;Rp546.930; Rp- ;Rp6.140.660;
;;Setor;Rp593.550;Rp579.610;Rp505.800;Rp655.840;Rp536.430;Rp512.050;Rp566.660;Rp553.830;Rp562.340;Rp527.620;Rp546.930; Rp- ;Rp6.140.660;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
45;32.78.1.0003885.03.001 / LAZATTO AMPERA / JL. AMPERA NO 97;Omset;Rp6.363.800;Rp5.740.000;Rp5.200.700;Rp7.021.700;Rp5.948.400;Rp5.461.900;Rp6.304.300;Rp5.889.100;Rp6.188.700;Rp5.148.000;Rp5.458.100; Rp- ;Rp64.724.700;AKTIF
;;Pajak;Rp636.380;Rp574.000;Rp520.070;Rp702.170;Rp594.840;Rp546.190;Rp630.430;Rp588.910;Rp618.870;Rp514.800;Rp545.810; Rp- ;Rp6.472.470;
;;Setor;Rp636.380;Rp574.000;Rp520.070;Rp702.170;Rp594.840;Rp546.190;Rp630.430;Rp588.910;Rp618.870;Rp514.800;Rp545.810; Rp- ;Rp6.472.470;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
46;32.78.1.0003994.03.001 / CHICKEN SUMO / JL.R.E MARTADINATA NO.81-83;Omset;Rp10.147.264;Rp10.192.255;Rp9.454.710;Rp7.105.080;Rp7.264.530;Rp7.511.530;Rp7.653.000;Rp9.530.760;Rp7.229.810;Rp8.173.430;Rp7.478.640; Rp- ;Rp91.741.009;AKTIF
;;Pajak;Rp1.014.726;Rp1.019.226;Rp945.471;Rp710.508;Rp726.453;Rp751.153;Rp765.300;Rp953.076;Rp722.981;Rp817.343;Rp747.864; Rp- ;Rp9.174.101;
;;Setor;Rp1.014.726;Rp1.019.226;Rp945.471;Rp710.508;Rp726.453;Rp751.153;Rp765.300;Rp953.076;Rp722.981;Rp817.343;Rp747.864; Rp- ;Rp9.174.101;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
47;32.78.1.0004073.06.006 / SATE MARANGGI AA / JL. AH. NASUTION NO.18;Omset;Rp14.250.000;Rp14.000.000;Rp13.700.000;Rp12.600.000;Rp11.400.000;Rp5.200.000;Rp4.900.000;Rp4.400.000;Rp3.600.000;Rp4.010.000; Rp- ; Rp- ;Rp88.060.000;AKTIF
;;Pajak;Rp1.425.000;Rp1.400.000;Rp1.370.000;Rp1.260.000;Rp1.140.000;Rp520.000;Rp490.000;Rp440.000;Rp360.000;Rp401.000; Rp- ; Rp- ;Rp8.806.000;
;;Setor;Rp1.425.000;Rp1.400.000;Rp1.370.000;Rp1.260.000;Rp1.140.000;Rp520.000;Rp490.000;Rp440.000;Rp360.000;Rp401.000; Rp- ; Rp- ;Rp8.806.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp3.600; Rp- ; Rp- ; Rp- ;Rp3.600;
