NAMA_WP,Kategori,Total_Omset_12Bulan,Total_Pajak_12Bulan,Efektivitas_Pajak,Risk_Label,prediction,Segmentasi
LUMIERE,Lokal,2457047880,286206307.8962399,11.648381328996898,0,0,Silver (Small)
JOFFI RAMEN,Resto Umum,467917230,54551406.60322441,11.658345046243117,0,0,Silver (Small)
CREAM AND YOU,Resto Umum,65067710,7579771.382986344,11.6490498668239,0,0,Silver (Small)
WARMINDO AMPERA,Lokal,47911000,5584091.399711887,11.6551313917391,0,0,Silver (Small)
LAOBAN BY UNCLE OSH,Resto Umum,630146000,73538344.2427715,11.670048344727366,0,0,Silver (Small)
LAWSON SILIWANGI,Resto Umum,1524489180,178376521.79989257,11.700740335579408,0,0,Silver (Small)
TJIN TJONG COFFEE SHOP,Cafe,582220000,67896924.99218081,11.661729860323113,0,0,Silver (Small)
COFFEE CINCO K,Cafe,53280000,6300292.069601694,11.82486983974721,0,0,Silver (Small)
LUME COFFEE,Cafe,40898180,4798165.052762033,11.731973513063936,0,0,Silver (Small)
MOMOYO MARTADINATA,Resto Umum,311800000,36450958.23081385,11.690492889016905,0,0,Silver (Small)
Steak Moen Moen Mayasari,Resto Umum,1102914660,128927917.66630647,11.689745448078186,0,0,Silver (Small)
LYF POOL HALL & COFFEE,Cafe,1473616820,172888534.3126141,11.732258383474688,0,0,Silver (Small)
KAPTEN KOPI 39,Cafe,55180000,6744729.167959197,12.2231382768804,0,0,Silver (Small)
SEBLAK ZIPAY,Resto Umum,26890000,3155199.4575610086,11.733722757583777,0,0,Silver (Small)
HAUS,Resto Umum,379654184,44642836.542157814,11.758815525420353,0,0,Silver (Small)
KANTTOR CAFÉ,Resto Umum,380344012,44644597.57918097,11.737951633803236,0,0,Silver (Small)
KORELASI DAN MANIS RIANG,Resto Umum,200237000,23560119.430197507,11.76611616148043,0,0,Silver (Small)
TEMU SUSHI TASIK,Resto Umum,348527250,41015106.44841106,11.768120006753175,0,0,Silver (Small)
EMADOS KEBAB INDONESIA,Resto Umum,853613080,102495877.15556145,12.007299104962819,0,0,Silver (Small)
MOMOYO LETNAN HARUN,Resto Umum,56000000,6683853.511548423,11.935450141597153,0,0,Silver (Small)
SATURASA,Resto Umum,131143632,15655596.511198785,11.937747063974207,0,0,Silver (Small)
UMINO CAFE,Cafe,44000000,5203084.874537143,11.825189671623598,0,0,Silver (Small)
KOPI NAKO TASIK,Cafe,12666746742,1475466476.6340418,11.64834590356129,0,1,Platinum (Big Fish)
CEKER NENG JEBRET,Resto Umum,137152000,16764274.827547386,12.223134449932376,0,0,Silver (Small)
